"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","GeneName","AlsoPresentInClusters","CellTypeFlag","Summary","Reactom","GeneFamily"
"1",0,1.25175146643159,1,0.871,0,"0","SPP1","secreted phosphoprotein 1","0, 1","osteoclast","The protein encoded by this gene is involved in the attachment of osteoclasts to the mineralized bone matrix. The encoded protein is secreted and binds hydroxyapatite with high affinity. The osteoclast vitronectin receptor is found in the cell membrane and may be involved in the binding to this protein. This protein is also a cytokine that upregulates expression of interferon-gamma and interleukin-12. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011]","Degradation of the extracellular matrix; Signaling by PDGF; Integrin cell surface interactions; Integrin cell surface interactions; Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs); RUNX3 Regulates Immune Response and Cell Migration; Post-translational protein phosphorylation","Endogenous ligands|SIBLING family"
"2",0,1.16100103581823,1,1,0,"0","FTL","ferritin light chain","0, 1, 7","neutrophil granulocyte","This gene encodes the light subunit of the ferritin protein. Ferritin is the major intracellular iron storage protein in prokaryotes and eukaryotes. It is composed of 24 subunits of the heavy and light ferritin chains. Variation in ferritin subunit composition may affect the rates of iron uptake and release in different tissues. A major function of ferritin is the storage of iron in a soluble and nontoxic state. Defects in this light chain ferritin gene are associated with several neurodegenerative diseases and hyperferritinemia-cataract syndrome. This gene has multiple pseudogenes. [provided by RefSeq, Jul 2008]","Scavenging by Class A Receptors; Golgi Associated Vesicle Biogenesis; Neutrophil degranulation; Iron uptake and transport","Ferritin subunits"
"3",0,1.08131277427575,0.978,0.63,0,"0","LGMN","legumain","0, 1","dendritic cell, monocyte","This gene encodes a cysteine protease that has a strict specificity for hydrolysis of asparaginyl bonds. This enzyme may be involved in the processing of bacterial peptides and endogenous proteins for MHC class II presentation in the lysosomal/endosomal systems. Enzyme activation is triggered by acidic pH and appears to be autocatalytic. Protein expression occurs after monocytes differentiate into dendritic cells. A fully mature, active enzyme is produced following lipopolysaccharide expression in mature dendritic cells. Overexpression of this gene may be associated with the majority of solid tumor types. This gene has a pseudogene on chromosome 13. Several alternatively spliced transcript variants have been described, but the biological validity of only two has been determined. These two variants encode the same isoform. [provided by RefSeq, Jul 2008]","Trafficking and processing of endosomal TLR; Vitamin D (calciferol) metabolism; MHC class II antigen presentation",""
"4",0,1.07751486937624,0.997,0.8,0,"0","CTSB","cathepsin B","0, 1, 7","neutrophil granulocyte, progenitor","This gene encodes a member of the C1 family of peptidases. Alternative splicing of this gene results in multiple transcript variants. At least one of these variants encodes a preproprotein that is proteolytically processed to generate multiple protein products. These products include the cathepsin B light and heavy chains, which can dimerize to form the double chain form of the enzyme. This enzyme is a lysosomal cysteine protease with both endopeptidase and exopeptidase activity that may play a role in protein turnover. It is also known as amyloid precursor protein secretase and is involved in the proteolytic processing of amyloid precursor protein (APP). Incomplete proteolytic processing of APP has been suggested to be a causative factor in Alzheimer's disease, the most common cause of dementia. Overexpression of the encoded protein has been associated with esophageal adenocarcinoma and other tumors. Multiple pseudogenes of this gene have been identified. [provided by RefSeq, Nov 2015]","Collagen degradation; Trafficking and processing of endosomal TLR; Assembly of collagen fibrils and other multimeric structures; MHC class II antigen presentation; Neutrophil degranulation","Cathepsins"
"5",0,1.06496268262978,0.912,0.431,0,"0","F13A1","coagulation factor XIII A chain","0, 1","gastric gland zymogenic cell, megakaryocyte","This gene encodes the coagulation factor XIII A subunit. Coagulation factor XIII is the last zymogen to become activated in the blood coagulation cascade. Plasma factor XIII is a heterotetramer composed of 2 A subunits and 2 B subunits. The A subunits have catalytic function, and the B subunits do not have enzymatic activity and may serve as plasma carrier molecules. Platelet factor XIII is comprised only of 2 A subunits, which are identical to those of plasma origin. Upon cleavage of the activation peptide by thrombin and in the presence of calcium ion, the plasma factor XIII dissociates its B subunits and yields the same active enzyme, factor XIIIa, as platelet factor XIII. This enzyme acts as a transglutaminase to catalyze the formation of gamma-glutamyl-epsilon-lysine crosslinking between fibrin molecules, thus stabilizing the fibrin clot. It also crosslinks alpha-2-plasmin inhibitor, or fibronectin, to the alpha chains of fibrin. Factor XIII deficiency is classified into two categories: type I deficiency, characterized by the lack of both the A and B subunits; and type II deficiency, characterized by the lack of the A subunit alone. These defects can result in a lifelong bleeding tendency, defective wound healing, and habitual abortion. [provided by RefSeq, Jul 2008]","Platelet degranulation ; Common Pathway of Fibrin Clot Formation; Interleukin-4 and Interleukin-13 signaling","Transglutaminases"
"6",0,1.05053314982425,0.995,0.788,0,"0","CTSD","cathepsin D","0, 7","neutrophil granulocyte","This gene encodes a member of the A1 family of peptidases. The encoded preproprotein is proteolytically processed to generate multiple protein products. These products include the cathepsin D light and heavy chains, which heterodimerize to form the mature enzyme. This enzyme exhibits pepsin-like activity and plays a role in protein turnover and in the proteolytic activation of hormones and growth factors. Mutations in this gene play a causal role in neuronal ceroid lipofuscinosis-10 and may be involved in the pathogenesis of several other diseases, including breast cancer and possibly Alzheimer's disease. [provided by RefSeq, Nov 2015]","Collagen degradation; Metabolism of Angiotensinogen to Angiotensins; MHC class II antigen presentation; Neutrophil degranulation; Estrogen-dependent gene expression","Cathepsins"
"7",0,1.04332497309478,0.993,0.693,0,"0","DAB2","DAB2, clathrin adaptor protein","0, 12, 7","","This gene encodes a mitogen-responsive phosphoprotein. It is expressed in normal ovarian epithelial cells, but is down-regulated or absent from ovarian carcinoma cell lines, suggesting its role as a tumor suppressor. This protein binds to the SH3 domains of GRB2, an adaptor protein that couples tyrosine kinase receptors to SOS (a guanine nucleotide exchange factor for Ras), via its C-terminal proline-rich sequences, and may thus modulate growth factor/Ras pathways by competing with SOS for binding to GRB2. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2011]","Gap junction degradation; Formation of annular gap junctions; Cargo recognition for clathrin-mediated endocytosis; Clathrin-mediated endocytosis",""
"8",0,1.03718767817833,1,0.779,0,"0","TYROBP","TYRO protein tyrosine kinase binding protein","0, 1, 7","lymphoid, myeloid, neutrophil granulocyte","This gene encodes a transmembrane signaling polypeptide which contains an immunoreceptor tyrosine-based activation motif (ITAM) in its cytoplasmic domain. The encoded protein may associate with the killer-cell inhibitory receptor (KIR) family of membrane glycoproteins and may act as an activating signal transduction element. This protein may bind zeta-chain (TCR) associated protein kinase 70kDa (ZAP-70) and spleen tyrosine kinase (SYK) and play a role in signal transduction, bone modeling, brain myelination, and inflammation. Mutations within this gene have been associated with polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (PLOSL), also known as Nasu-Hakola disease. Its putative receptor, triggering receptor expressed on myeloid cells 2 (TREM2), also causes PLOSL. Multiple alternative transcript variants encoding distinct isoforms have been identified for this gene. [provided by RefSeq, Mar 2010]","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; DAP12 interactions; DAP12 interactions; DAP12 signaling; DAP12 signaling; Signal regulatory protein family interactions; Other semaphorin interactions; Neutrophil degranulation",""
"9",0,0.995086529136445,0.899,0.391,0,"0","TREM2","triggering receptor expressed on myeloid cells 2","0, 7","lymphoid","This gene encodes a membrane protein that forms a receptor signaling complex with the TYRO protein tyrosine kinase binding protein. The encoded protein functions in immune response and may be involved in chronic inflammation by triggering the production of constitutive inflammatory cytokines. Defects in this gene are a cause of polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy (PLOSL). Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Nov 2012]","Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell; DAP12 interactions; DAP12 signaling; DAP12 signaling; Other semaphorin interactions","V-set domain containing"
"10",0,0.983877524108256,0.849,0.337,0,"0","TMIGD3","transmembrane and immunoglobulin domain containing 3","0, 1, 7","","This gene encodes a transmembrane and immunoglobulin domain-containing protein. Alternative splicing results in multiple transcript variants, one of which shares its 5' terminal exon with that of the overlapping adenosine A3 receptor gene (GeneID:140), thus resulting in a fusion product. [provided by RefSeq, Nov 2014]","",""
