ACOT11	adipocytes, adipocytes brown fat cell
ADIG	adipocytes
ADIPOQ	adipocytes
ADIPOR1	adipocytes
ADIPOR2	adipocytes
ADIRF	adipocytes
ADRB3	adipocytes
AEBP1	adipocytes, smooth muscle cell
AGPAT2	adipocytes, neutrophil granulocyte
ANGPTL4	adipocytes, endothelial cells
APPL1	adipocytes
AQP7	adipocytes, epididymal basal cell, spermatid
AQP9	adipocytes
ARID5B	adipocytes, progenitor
ASIP	adipocytes
ASXL2	adipocytes, osteoclast
ATG5	adipocytes
ATG7	adipocytes, hematopoietic stem cell, neutrophil granulocyte
BBS10	adipocytes, neuron retina horizontal cell
BBS12	adipocytes
BMP4	adipocytes
BMP7	adipocytes
BMP8B	adipocytes, adipocytes brown fat cell
BSCL2	adipocytes
CAND1	adipocytes, neutrophil granulocyte
CARM1	adipocytes
CCNC	adipocytes
CCND3	adipocytes
CD36	adipocytes, erythrocyte, megakaryocyte, neutrophil granulocyte
CDK4	adipocytes, cdc, conventional dendritic cell
CDK8	adipocytes
CDK19	adipocytes
CEBPA	adipocytes, myeloid
CEBPB	adipocytes
CEBPD	adipocytes, macrophage
CFD	adipocytes, megakaryocyte, neutrophil granulocyte
CHD9	adipocytes
CIDEA	adipocytes, adipocytes brown fat cell
CIDEC	adipocytes
CLMP	adipocytes
CREBBP	adipocytes, myeloid, progenitor
CRTC3	adipocytes
DDIT3	adipocytes
DLK1	adipocytes
EBF1	adipocytes
EGR2	adipocytes
EP300	adipocytes, megakaryocyte, progenitor
FABP4	adipocytes
FAM120B	adipocytes
FASTKD3	adipocytes
FBN1	adipocytes
FGF21	adipocytes, fibroblasts
GHRL	adipocytes, anterior pituitary cells somatotropes
HDAC3	adipocytes, osteoblast
HELZ2	adipocytes
HMGA2	adipocytes
HSD17B1	adipocytes
KIAA1109	adipocytes, spermatocyte
KLF2	adipocytes
KLF4	adipocytes
KLF5	adipocytes
KLF7	adipocytes
LEP	adipocytes
LEPR	adipocytes, anterior pituitary cells gonadotropes
LGALS12	adipocytes
LINCADL	adipocytes
LIPE	adipocytes
LPIN1	adipocytes
LPIN2	adipocytes
LPL	adipocytes
LYRM1	adipocytes
MED1	adipocytes
MED4	adipocytes
MED6	adipocytes
MED7	adipocytes
MED8	adipocytes
MED9	adipocytes
MED10	adipocytes
MED11	adipocytes
MED12	adipocytes
MED13	adipocytes
MED13L	adipocytes
MED14	adipocytes
MED15	adipocytes
MED16	adipocytes
MED17	adipocytes
MED18	adipocytes
MED19	adipocytes
MED20	adipocytes
MED21	adipocytes
MED22	adipocytes
MED23	adipocytes
MED24	adipocytes
MED25	adipocytes
MED26	adipocytes
MED27	adipocytes
MED28	adipocytes
MED29	adipocytes
MED30	adipocytes
MED31	adipocytes
MORC2	adipocytes
MTCH2	adipocytes
NCOA1	adipocytes
NCOA2	adipocytes, myeloid
NCOA3	adipocytes
NCOA6	adipocytes
NCOR1	adipocytes
NCOR2	adipocytes
NFKB1	adipocytes, b cell, neutrophil granulocyte
NKX1-1	adipocytes
NR1H2	adipocytes, adrenal gland cells, macrophage
NR2F2	adipocytes
OTOP1	adipocytes, outer hair cell of vestibular system of ear
PCK1	adipocytes, adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
PDZRN3	adipocytes, osteoblast
PLIN1	adipocytes
PLIN2	adipocytes, adrenal gland cells, fibroblasts, hepatocyte, leydig cell of testes secreting testosterone, mammary gland cell milk secretion
PNPLA2	adipocytes
PNPLA3	adipocytes
PNPLA4	adipocytes
PNPLA7	adipocytes
PPARA	adipocytes, b cell
PPARG	adipocytes
PPARGC1A	adipocytes
PPM1L	adipocytes
PRKAR2B	adipocytes, megakaryocyte
PUM2	adipocytes
RARRES2	adipocytes, megakaryocyte
RELA	adipocytes, b cell
RETN	adipocytes, neutrophil granulocyte
RXRA	adipocytes
SLC2A4	adipocytes
SMARCD3	adipocytes
SRA1	adipocytes
SREBF1	adipocytes, progenitor
SREBF2	adipocytes
STEAP4	adipocytes
TBL1X	adipocytes
TBL1XR1	adipocytes
TGFB1	adipocytes, megakaryocyte
TGS1	adipocytes
THRAP3	adipocytes
THRSP	adipocytes
TMEM26	adipocytes, adipocytes brown fat cell
TNF	adipocytes, macrophage
UCP1	adipocytes, adipocytes brown fat cell
WNT1	adipocytes
WNT10B	adipocytes
ZNF467	adipocytes, osteoblast
ZNF638	adipocytes
AGTR2	adrenal gland cells
AKR1B10	adrenal gland cells
AZIN2	adrenal gland cells, mast cell
CYP11B1	adrenal gland cells, adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
DBH	adrenal gland cells
DHCR24	adrenal gland cells
ELOVL5	adrenal gland cells
GAL	adrenal gland cells, progenitor
HRH1	adrenal gland cells, mast cell
MC3R	adrenal gland cells
MRAP	adrenal gland cells, adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
NPW	adrenal gland cells
PRKACA	adrenal gland cells, megakaryocyte
SULT2A1	adrenal gland cells
UBAP2	adrenal gland cells
ADH6	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
ARHGAP35	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
ARID1A	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
CALR	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
CGA	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
CYP3A4	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
CYP11B2	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
CYP17A1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
CYP21A2	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
DCAF6	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
GAS5	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
GLCCI1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
GMEB1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
GMEB2	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
HSD3B1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid, progenitor
HSD3B2	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
HSD11B1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
HSD11B1L	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
HSD11B2	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
LHB	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid, anterior pituitary cells gonadotropes
MC2R	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
MIF	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid, macrophage, neutrophil granulocyte
MT1M	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
MYOC	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
NR3C1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
NR3C2	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
ONECUT1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid, progenitor
PDCD6	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
PDK4	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
POMC	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid, anterior pituitary cells, anterior pituitary cells gonadotropes
PPARGC1B	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
PSMC3IP	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
SCNN1A	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
SGK2	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
SNW1	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid, progenitor
ST13	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
TRIP4	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
TSC22D3	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
TTLL5	adrenal gland secreting steroid hormones mineralocorticoids glucocorticoid
ADRA2A	adrenergic neural cell
ADRA2B	adrenergic neural cell
ADRA2C	adrenergic neural cell
TH	adrenergic neural cell
AMBN	ameloblast epithelial cell
AMTN	ameloblast epithelial cell, odontoblast, odontocyte
LENEP	anterior lens epithelial cell, crystallin-containing lens fiber cell
AVPR1B	anterior pituitary cells, anterior pituitary cells gonadotropes
HESX1	anterior pituitary cells, anterior pituitary cells gonadotropes
PRL	anterior pituitary cells, anterior pituitary cells gonadotropes
PRLR	anterior pituitary cells, anterior pituitary cells gonadotropes
ACVR1B	anterior pituitary cells gonadotropes
ASIC4	anterior pituitary cells gonadotropes
AVP	anterior pituitary cells gonadotropes, progenitor
AVPR2	anterior pituitary cells gonadotropes
BRINP3	anterior pituitary cells gonadotropes
CHST8	anterior pituitary cells gonadotropes
CLCF1	anterior pituitary cells gonadotropes, b cell
CRH	anterior pituitary cells gonadotropes
CRHBP	anterior pituitary cells gonadotropes
CRHR1	anterior pituitary cells gonadotropes
DIO2	anterior pituitary cells gonadotropes
DPF2	anterior pituitary cells gonadotropes
FSHB	anterior pituitary cells gonadotropes
GALR2	anterior pituitary cells gonadotropes
GH1	anterior pituitary cells gonadotropes, anterior pituitary cells somatotropes
GH2	anterior pituitary cells gonadotropes, anterior pituitary cells somatotropes
GHRH	anterior pituitary cells gonadotropes
GNAS	anterior pituitary cells gonadotropes
GNRHR	anterior pituitary cells gonadotropes, theca interna cell of ovarian follicle secreting estrogen
HIGD1B	anterior pituitary cells gonadotropes
INHA	anterior pituitary cells gonadotropes, theca interna cell of ovarian follicle secreting estrogen
INHBA	anterior pituitary cells gonadotropes
INHBB	anterior pituitary cells gonadotropes
LHX3	anterior pituitary cells gonadotropes
LHX4	anterior pituitary cells gonadotropes
NUDT6	anterior pituitary cells gonadotropes
OTX2	anterior pituitary cells gonadotropes, progenitor
OXT	anterior pituitary cells gonadotropes, progenitor
PCSK4	anterior pituitary cells gonadotropes, b cell, progenitor
POU1F1	anterior pituitary cells gonadotropes
PRLHR	anterior pituitary cells gonadotropes
PROP1	anterior pituitary cells gonadotropes
PTH2	anterior pituitary cells gonadotropes, progenitor
PTTG1IP	anterior pituitary cells gonadotropes, fibroblasts
QPCT	anterior pituitary cells gonadotropes, neutrophil granulocyte
SST	anterior pituitary cells gonadotropes
TBX19	anterior pituitary cells gonadotropes
TEF	anterior pituitary cells gonadotropes
UNCX	anterior pituitary cells gonadotropes, myeloid
CSH1	anterior pituitary cells somatotropes
CSH2	anterior pituitary cells somatotropes
CSHL1	anterior pituitary cells somatotropes
PITX2	anterior pituitary cells somatotropes
PGPEP1	anterior pituitary cells thyrotropes
TRH	anterior pituitary cells thyrotropes
TRHDE	anterior pituitary cells thyrotropes
TRHR	anterior pituitary cells thyrotropes
EDARADD	apocrine sweat gland cell odoriferous secretion, eccrine sweat gland clear cell
KRT77	apocrine sweat gland cell odoriferous secretion, eccrine sweat gland clear cell
TBX3	apocrine sweat gland cell odoriferous secretion
AREG	astrocyte, fibroblasts, mammary gland cell milk secretion, oocyte, schwann cell
EFNA5	astrocyte
GFAP	astrocyte
NDRG4	astrocyte
CEACAM16	auditory outer hair cell of organ of corti
CHRNA9	auditory outer hair cell of organ of corti
COCH	auditory outer hair cell of organ of corti
DIAPH1	auditory outer hair cell of organ of corti, neutrophil granulocyte
ELMOD3	auditory outer hair cell of organ of corti
GIPC3	auditory outer hair cell of organ of corti
GRXCR1	auditory outer hair cell of organ of corti
LOXHD1	auditory outer hair cell of organ of corti
MCOLN3	auditory outer hair cell of organ of corti
MYO6	auditory outer hair cell of organ of corti
MYO15A	auditory outer hair cell of organ of corti
SERPINB6	auditory outer hair cell of organ of corti, neutrophil granulocyte
SLC26A5	auditory outer hair cell of organ of corti
STRC	auditory outer hair cell of organ of corti
TECTA	auditory outer hair cell of organ of corti
TECTB	auditory outer hair cell of organ of corti
TMC1	auditory outer hair cell of organ of corti
TMC2	auditory outer hair cell of organ of corti
TMIE	auditory outer hair cell of organ of corti
ASCL1	autonomic neuron cells
DRD4	autonomic neuron cells
P2RX3	autonomic neuron cells, megakaryocyte
PHOX2A	autonomic neuron cells
PRDM12	autonomic neuron cells, myeloid
ACOT7	b cell
ACSL1	b cell
ACSL3	b cell
ACSL4	b cell
ACSL5	b cell
AGXT	b cell
AHCYL1	b cell
AKAP7	b cell
AKAP8	b cell
ALDH1A1	b cell
ALDH2	b cell
ANKS1B	b cell, progenitor
AP3S1	b cell
ARG1	b cell, neutrophil granulocyte
ARG2	b cell
BANK1	b cell
BCAP31	b cell
